season,team,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,1B,HBP+BB,OBP+SLG,team_name
2022,21,64,28.3,3.51,162,5863,5314,568,1147,249,15,137,537,78,23,433,1389,.216,0.281,0.346,.626,82,1837,109,59,22,33,7,969,746,492,0.627,Oakland Athletics
2022,22,56,28.1,4.61,162,6077,5496,747,1392,255,29,205,719,105,28,478,1363,.253,0.317,0.422,.739,107,2320,116,52,6,44,15,1075,903,530,0.739,Philadelphia Phillies
2022,23,68,26.3,3.65,162,5912,5331,591,1186,221,29,158,555,89,32,476,1497,.222,0.291,0.364,.655,84,1939,96,54,19,32,14,1016,778,530,0.655,Pittsburgh Pirates
2022,24,55,28.2,4.35,162,6175,5468,705,1317,275,18,153,682,49,22,574,1327,.241,0.318,0.382,.700,104,2087,95,65,17,46,24,1174,871,639,0.7,San Diego Padres
2022,25,59,27.5,4.26,162,6117,5375,690,1236,229,19,197,663,83,27,596,1397,.230,0.315,0.39,.704,106,2094,120,89,9,45,17,1129,791,685,0.705,Seattle Mariners
2022,26,66,30.0,4.42,162,6117,5392,716,1261,255,18,183,683,64,16,571,1462,.234,0.315,0.39,.705,98,2101,109,95,6,53,14,1115,805,666,0.705,San Francisco Giants
2022,27,51,28.8,4.77,162,6165,5496,772,1386,290,21,197,739,95,25,537,1226,.252,0.325,0.42,.745,114,2309,112,80,5,45,11,1132,878,617,0.745,St. Louis Cardinals
2022,28,61,27.0,4.11,162,6008,5412,666,1294,296,17,139,634,95,37,500,1395,.239,0.309,0.377,.686,100,2041,93,57,7,31,13,1074,842,557,0.686,Tampa Bay Rays
2022,29,55,28.0,4.36,162,6029,5478,707,1308,224,20,198,670,128,41,456,1446,.239,0.301,0.395,.696,98,2166,82,47,10,38,12,1007,866,503,0.696,Texas Rangers
2022,30,51,27.1,4.78,162,6158,5555,775,1464,307,12,200,756,67,35,500,1242,.264,0.329,0.431,.760,116,2395,136,55,8,33,13,1111,945,555,0.76,Toronto Blue Jays
2022,31,55,28.7,3.72,162,5998,5434,603,1351,252,20,136,579,75,31,442,1221,.249,0.31,0.377,.688,99,2051,141,60,20,37,12,1099,943,502,0.687,Washington Nationals
