team,game
BAL,202206040
BAL,202206050
CLE,202206071
CLE,202206072
CLE,202206080
CLE,202206090
CLE,202206100
CLE,202206110
CLE,202206120
COL,202206140
COL,202206150
COL,202206160
LAN,202206170
LAN,202206180
LAN,202206190
MIN,202206210
MIN,202206220
MIN,202206230
CLE,202206240
CLE,202206250
CLE,202206260
CLE,202206270
CLE,202206281
CLE,202206282
CLE,202206290
CLE,202206300
CLE,202207021
CLE,202207022
CLE,202207030
DET,202207041
DET,202207042
DET,202207050
DET,202207060
KCA,202207080
KCA,202207090
KCA,202207100
CLE,202207110
CLE,202207121
CLE,202207122
CLE,202207130
CLE,202207140
CLE,202207150
CLE,202207160
CHA,202207220
CHA,202207231
CHA,202207232
CHA,202207240
BOS,202207250
BOS,202207260
BOS,202207270
BOS,202207280
TBA,202207290
TBA,202207300
TBA,202207310
CLE,202208010
CLE,202208020
CLE,202208030
CLE,202208040
CLE,202208050
CLE,202208060
CLE,202208070
DET,202208090
DET,202208100
DET,202208110
TOR,202208120
TOR,202208130
TOR,202208140
CLE,202208151
CLE,202208152
CLE,202208160
CLE,202208170
CLE,202208190
CLE,202208200
SDN,202208230
SDN,202208240
SEA,202208250
SEA,202208260
SEA,202208270
SEA,202208280
CLE,202208300
CLE,202208310
CLE,202209010
CLE,202209020
CLE,202209030
CLE,202209040
KCA,202209050
KCA,202209060
KCA,202209070
MIN,202209090
MIN,202209100
MIN,202209110
CLE,202209120
CLE,202209130
CLE,202209140
CLE,202209150
CLE,202209160
CLE,202209171
CLE,202209172
CLE,202209180
CLE,202209190
CHA,202209200
CHA,202209210
CHA,202209220
TEX,202209230
TEX,202209240
TEX,202209250
CLE,202209270
CLE,202209280
CLE,202209290
CLE,202209300
CLE,202210010
CLE,202210020
CLE,202210030
CLE,202210040
CLE,202210050
